
PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
Super Soco                                         Spalinowy czterosuwowy                             Business                                                       428,8        319
Ducati                                             Elektryczny                                        Eco                                                           428,25        320
CFMoto                                             Spalinowy dwusuwowy                                Dynamic                                                       425,17        321
Keeway                                             Spalinowy dwusuwowy                                SafetyPlus                                                   423,685        322
TGB                                                Elektryczny                                        Adventure                                                     422,05        323
NIU                                                Elektryczny                                        Komfort                                                       417,96        324
Ducati                                             Spalinowy czterosuwowy                             Urban                                                         417,06        325
Lifan                                              Spalinowy czterosuwowy                             TouringPlus                                                   416,74        326
Suzuki                                             Elektryczny                                        Touring                                                       415,49        327
Suzuki                                             Spalinowy czterosuwowy                             Urban                                                     413,056667        328
Peugeot                                            Spalinowy dwusuwowy                                Eco                                                           412,34        329

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
E-Twow                                             Elektryczny                                        Travel                                                        405,13        330
Gogoro                                             Spalinowy dwusuwowy                                Extreme                                                       404,51        331
Suzuki                                             Spalinowy dwusuwowy                                Elegance                                                      404,02        332
Peugeot                                            Elektryczny                                        NightRide                                                     402,69        333
Aeon                                               Elektryczny                                        Urban                                                         400,95        334
Aeon                                               Spalinowy czterosuwowy                             Premium                                                       399,75        335
CFMoto                                             Spalinowy dwusuwowy                                Standard                                                      398,61        336
Sym                                                Spalinowy dwusuwowy                                Travel                                                        396,73        337
Bajaj                                              Spalinowy czterosuwowy                             Sport                                                         395,71        338
Aeon                                               Elektryczny                                        Prestige                                                      394,04        339
Ducati                                             Spalinowy dwusuwowy                                Ultimate                                                      390,32        340

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Bajaj                                              Elektryczny                                        SafetyPlus                                                    388,62        341
Suzuki                                             Elektryczny                                        Extreme                                                      388,105        342
Bajaj                                              Spalinowy dwusuwowy                                Exclusive                                                     386,06        343
Aprilia                                            Elektryczny                                        Travel                                                       384,885        344
Aprilia                                            Spalinowy czterosuwowy                             Sport                                                         382,79        345
Peugeot                                            Elektryczny                                        Pro                                                           376,94        346
E-Twow                                             Spalinowy dwusuwowy                                Eco                                                            376,3        347
Malaguti                                           Spalinowy dwusuwowy                                Sport                                                         375,85        348
E-Twow                                             Elektryczny                                        LED                                                           372,96        349
Gogoro                                             Elektryczny                                        TouringPlus                                                   370,36        350
Kawasaki                                           Spalinowy czterosuwowy                             Urban                                                         369,47        351

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Lifan                                              Spalinowy czterosuwowy                             Custom                                                       368,775        352
Malaguti                                           Spalinowy dwusuwowy                                TouringPlus                                                   367,63        353
Super Soco                                         Elektryczny                                        Off-road                                                      367,25        354
Peugeot                                            Spalinowy dwusuwowy                                Ultimate                                                      360,27        355
Keeway                                             Elektryczny                                        Eco                                                           357,81        356
Honda                                              Spalinowy czterosuwowy                             Komfort                                                       356,66        357
Gogoro                                             Spalinowy dwusuwowy                                Travel                                                        354,47        358
Super Soco                                         Elektryczny                                        Standard                                                      354,22        359
Lifan                                              Spalinowy dwusuwowy                                Custom                                                        353,98        360
Suzuki                                             Elektryczny                                        Classic                                                       350,84        361
Keeway                                             Spalinowy czterosuwowy                             Extreme                                                       349,53        362

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Rieju                                              Spalinowy czterosuwowy                             City                                                          348,69        363
Kawasaki                                           Elektryczny                                        Exclusive                                                     347,72        364
Lifan                                              Elektryczny                                        Ultimate                                                      345,05        365
Keeway                                             Spalinowy dwusuwowy                                Pro                                                           344,27        366
E-Twow                                             Spalinowy czterosuwowy                             Pro                                                          341,965        367
Aeon                                               Spalinowy dwusuwowy                                Sport                                                          339,6        368
E-Twow                                             Spalinowy czterosuwowy                             TouringPlus                                                   339,41        369
NIU                                                Spalinowy dwusuwowy                                Custom                                                        339,07        370
Peugeot                                            Spalinowy czterosuwowy                             Safety                                                        338,52        371
Gogoro                                             Spalinowy dwusuwowy                                Sport                                                         332,56        372
CFMoto                                             Spalinowy dwusuwowy                                Tech                                                          332,12        373

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Gogoro                                             Elektryczny                                        Premium                                                       327,45        374
Aeon                                               Spalinowy dwusuwowy                                Safety                                                        327,04        375
Aeon                                               Spalinowy czterosuwowy                             Business                                                      324,35        376
Rieju                                              Spalinowy czterosuwowy                             Ultimate                                                  322,136667        377
NIU                                                Elektryczny                                        TouringPlus                                                   318,55        378
Rieju                                              Elektryczny                                        Pro                                                           316,97        379
Aeon                                               Spalinowy czterosuwowy                             Travel                                                        312,72        380
CFMoto                                             Spalinowy czterosuwowy                             Prestige                                                      310,89        381
Aprilia                                            Spalinowy dwusuwowy                                Winter                                                        310,04        382
CFMoto                                             Spalinowy czterosuwowy                             Safety                                                        307,29        383
Loncin                                             Spalinowy czterosuwowy                             Urban                                                         305,28        384

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
CFMoto                                             Elektryczny                                        Extreme                                                        302,1        385
Peugeot                                            Elektryczny                                        LED                                                           301,17        386
Honda                                              Elektryczny                                        Tech                                                          301,05        387
TGB                                                Spalinowy dwusuwowy                                Exclusive                                                     300,99        388
Gogoro                                             Spalinowy dwusuwowy                                Off-road                                                      300,22        389
Kawasaki                                           Spalinowy dwusuwowy                                Elegance                                                      296,19        390
Aeon                                               Spalinowy czterosuwowy                             Elegance                                                      295,87        391
Suzuki                                             Elektryczny                                        LED                                                           295,17        392
TGB                                                Spalinowy dwusuwowy                                Prestige                                                      293,94        393
Lifan                                              Elektryczny                                        SafetyPlus                                                    292,72        394
Aeon                                               Spalinowy dwusuwowy                                Prestige                                                      289,64        395

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Kawasaki                                           Elektryczny                                        Komfort                                                       288,28        396
Yamaha                                             Spalinowy dwusuwowy                                Smart                                                         287,17        397
Super Soco                                         Spalinowy czterosuwowy                             Custom                                                        279,91        398
CFMoto                                             Elektryczny                                        Off-road                                                      278,98        399
Aeon                                               Elektryczny                                        Komfort                                                       277,41        400
Malaguti                                           Spalinowy czterosuwowy                             Elegance                                                      276,96        401
Sym                                                Spalinowy dwusuwowy                                LED                                                           276,95        402
Suzuki                                             Elektryczny                                        Lux                                                           275,15        403
Yamaha                                             Spalinowy dwusuwowy                                Eco                                                           274,76        404
Aprilia                                            Spalinowy dwusuwowy                                Premium                                                       273,49        405
Rieju                                              Spalinowy dwusuwowy                                Elegance                                                      270,81        406

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aprilia                                            Spalinowy czterosuwowy                             Komfort                                                       268,23        407
Bajaj                                              Spalinowy czterosuwowy                             Lux                                                           263,54        408
Yamaha                                             Spalinowy dwusuwowy                                NightRide                                                     262,92        409
BMW                                                Spalinowy czterosuwowy                             Ultimate                                                      262,41        410
Malaguti                                           Spalinowy czterosuwowy                             Business                                                      262,21        411
Peugeot                                            Spalinowy czterosuwowy                             SafetyPlus                                                    262,05        412
Super Soco                                         Elektryczny                                        Pro                                                           260,66        413
Gogoro                                             Spalinowy czterosuwowy                             Eco                                                           259,97        414
Yamaha                                             Spalinowy czterosuwowy                             LED                                                           259,35        415
Keeway                                             Spalinowy dwusuwowy                                Prestige                                                      257,11        416
Lifan                                              Elektryczny                                        Komfort                                                        255,3        417

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
E-Twow                                             Elektryczny                                        Urban                                                         249,02        418
Super Soco                                         Spalinowy czterosuwowy                             SafetyPlus                                                    248,57        419
Honda                                              Spalinowy czterosuwowy                             Pro                                                           242,15        420
NIU                                                Spalinowy dwusuwowy                                Pro                                                           241,49        421
CFMoto                                             Spalinowy czterosuwowy                             SafetyPlus                                                    239,14        422
Peugeot                                            Spalinowy dwusuwowy                                Business                                                      237,53        423
Loncin                                             Elektryczny                                        City                                                          236,23        424
Honda                                              Spalinowy czterosuwowy                             NightRide                                                     233,33        425
Aprilia                                            Spalinowy czterosuwowy                             Standard                                                      231,31        426
Bajaj                                              Spalinowy dwusuwowy                                Ultimate                                                     231,165        427
Aprilia                                            Elektryczny                                        Pro                                                           230,59        428

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
CFMoto                                             Spalinowy dwusuwowy                                Travel                                                         229,9        429
CFMoto                                             Spalinowy czterosuwowy                             Classic                                                       227,91        430
Loncin                                             Elektryczny                                        Winter                                                        227,59        431
Ducati                                             Elektryczny                                        Prestige                                                      225,83        432
Aprilia                                            Spalinowy czterosuwowy                             Classic                                                       223,59        433
Aeon                                               Spalinowy dwusuwowy                                NightRide                                                     223,55        434
CFMoto                                             Spalinowy czterosuwowy                             Winter                                                        223,23        435
Super Soco                                         Spalinowy czterosuwowy                             Pro                                                           219,29        436
Lifan                                              Spalinowy dwusuwowy                                Prestige                                                      219,23        437
Keeway                                             Spalinowy czterosuwowy                             Safety                                                       218,385        438
Honda                                              Elektryczny                                        Off-road                                                      217,88        439

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
CFMoto                                             Spalinowy czterosuwowy                             Tech                                                          213,07        440
TGB                                                Spalinowy dwusuwowy                                Custom                                                        210,42        441
BMW                                                Spalinowy czterosuwowy                             Tech                                                          203,95        442
NIU                                                Spalinowy dwusuwowy                                Extreme                                                       200,99        443
Bajaj                                              Elektryczny                                        Urban                                                         200,98        444
Super Soco                                         Spalinowy dwusuwowy                                Komfort                                                        199,6        445
Moto Guzzi                                         Elektryczny                                        Winter                                                        199,26        446
Keeway                                             Elektryczny                                        Prestige                                                      198,33        447
Ducati                                             Spalinowy czterosuwowy                             Komfort                                                       196,77        448
CFMoto                                             Elektryczny                                        Adventure                                                     196,51        449
TGB                                                Spalinowy dwusuwowy                                Extreme                                                       195,98        450

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aprilia                                            Spalinowy dwusuwowy                                Smart                                                         192,22        451
Rieju                                              Spalinowy dwusuwowy                                Adventure                                                     191,49        452
Kawasaki                                           Elektryczny                                        NightRide                                                     190,42        453
Lifan                                              Elektryczny                                        LED                                                           186,86        454
Gogoro                                             Spalinowy czterosuwowy                             Adventure                                                     180,86        455
Keeway                                             Elektryczny                                        TouringPlus                                                    179,6        456
Suzuki                                             Elektryczny                                        Business                                                      177,67        457
Kawasaki                                           Spalinowy dwusuwowy                                Komfort                                                       177,01        458
Rieju                                              Elektryczny                                        NightRide                                                     173,29        459
Honda                                              Spalinowy dwusuwowy                                Sport                                                         172,79        460
Bajaj                                              Spalinowy dwusuwowy                                Eco                                                           172,04        461

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Suzuki                                             Spalinowy czterosuwowy                             Safety                                                        172,03        462
Super Soco                                         Elektryczny                                        Winter                                                        169,37        463
CFMoto                                             Elektryczny                                        Custom                                                        160,67        464
TGB                                                Spalinowy dwusuwowy                                Classic                                                        159,6        465
Aeon                                               Elektryczny                                        Pro                                                           159,58        466
TGB                                                Spalinowy czterosuwowy                             Prestige                                                      157,19        467
Aprilia                                            Spalinowy czterosuwowy                             Off-road                                                      155,17        468
Piaggio                                            Spalinowy czterosuwowy                             SafetyPlus                                                    149,98        469
Yamaha                                             Spalinowy czterosuwowy                             Exclusive                                                     149,04        470
Loncin                                             Spalinowy dwusuwowy                                Sport                                                         148,49        471
Rieju                                              Spalinowy czterosuwowy                             Urban                                                         147,61        472

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Ducati                                             Elektryczny                                        LED                                                            146,1        473
Suzuki                                             Spalinowy dwusuwowy                                Travel                                                         145,5        474
Honda                                              Spalinowy czterosuwowy                             Adventure                                                     137,27        475
Sym                                                Spalinowy dwusuwowy                                Komfort                                                       136,08        476
Lifan                                              Spalinowy dwusuwowy                                Premium                                                       130,29        477
Aeon                                               Spalinowy dwusuwowy                                Urban                                                         123,93        478
Bajaj                                              Spalinowy czterosuwowy                             Safety                                                        123,62        479
Lifan                                              Spalinowy czterosuwowy                             Safety                                                        121,89        480
Yamaha                                             Spalinowy czterosuwowy                             Ultimate                                                      118,89        481
Malaguti                                           Spalinowy dwusuwowy                                Elegance                                                       118,1        482
Keeway                                             Spalinowy czterosuwowy                             Dynamic                                                       117,01        483

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Bajaj                                              Elektryczny                                        Ultimate                                                       116,9        484
Super Soco                                         Spalinowy dwusuwowy                                Eco                                                           112,34        485
Piaggio                                            Spalinowy czterosuwowy                             Winter                                                         109,9        486
Gogoro                                             Elektryczny                                        Adventure                                                     109,53        487
Lifan                                              Spalinowy czterosuwowy                             Touring                                                       109,03        488
CFMoto                                             Spalinowy czterosuwowy                             Sport                                                         108,79        489
Rieju                                              Spalinowy czterosuwowy                             Prestige                                                      108,64        490
Moto Guzzi                                         Elektryczny                                        Prestige                                                      106,17        491
Bajaj                                              Spalinowy dwusuwowy                                City                                                          100,85        492
Bajaj                                              Elektryczny                                        TouringPlus                                                     98,8        493
Malaguti                                           Elektryczny                                        Komfort                                                        98,19        494

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Ducati                                             Spalinowy dwusuwowy                                Classic                                                        97,13        495
Moto Guzzi                                         Elektryczny                                        Off-road                                                       96,09        496
Suzuki                                             Spalinowy dwusuwowy                                Business                                                       92,82        497
Peugeot                                            Spalinowy czterosuwowy                             Eco                                                             91,2        498
Sym                                                Spalinowy dwusuwowy                                Touring                                                        90,65        499
Super Soco                                         Spalinowy dwusuwowy                                TouringPlus                                                    88,63        500
Bajaj                                              Spalinowy czterosuwowy                             Classic                                                         77,5        501
Rieju                                              Spalinowy czterosuwowy                             Classic                                                         75,4        502
Moto Guzzi                                         Spalinowy dwusuwowy                                Standard                                                       74,93        503
Rieju                                              Spalinowy czterosuwowy                             Tech                                                           74,35        504
Peugeot                                            Spalinowy dwusuwowy                                Dynamic                                                        72,38        505

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Lifan                                              Elektryczny                                        NightRide                                                      70,99        506
BMW                                                Spalinowy dwusuwowy                                LED                                                            70,96        507
Suzuki                                             Spalinowy dwusuwowy                                SafetyPlus                                                     70,93        508
Bajaj                                              Spalinowy dwusuwowy                                Komfort                                                        56,58        509
Suzuki                                             Elektryczny                                        Komfort                                                        56,52        510
Rieju                                              Elektryczny                                        Prestige                                                       56,32        511
Piaggio                                            Elektryczny                                        Touring                                                        54,74        512

513 rows selected. 

