
WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
QuickScoot                                         Django125                                          Elektryczny                                                      162         50
QuickScoot                                         X-Town300                                          Spalinowy dwusuwowy                                              161         52
QuickScoot                                         MQiGT                                              Spalinowy dwusuwowy                                              161         52
QuickScoot                                         R18                                                Elektryczny                                                      160         54
QuickScoot                                         ZT310T                                             Spalinowy czterosuwowy                                           159         55
QuickScoot                                         Agility125                                         Spalinowy dwusuwowy                                              159         55

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
QuickScoot                                         SR50                                               Elektryczny                                                      159         55
QuickScoot                                         Forsa125                                           Spalinowy czterosuwowy                                           159         55
QuickScoot                                         GT2022                                             Elektryczny                                                      158         59
QuickScoot                                         Primavera150                                       Elektryczny                                                      157         60
QuickScoot                                         XDiavel125                                         Spalinowy czterosuwowy                                           157         60
QuickScoot                                         Beverly350                                         Spalinowy czterosuwowy                                           157         60
QuickScoot                                         S01+                                               Spalinowy dwusuwowy                                              156         63
QuickScoot                                         Leoncino125                                        Spalinowy dwusuwowy                                              156         63
QuickScoot                                         Like200i                                           Elektryczny                                                      154         65
QuickScoot                                         GTS300                                             Spalinowy czterosuwowy                                           153         66
QuickScoot                                         Leoncino125                                        Spalinowy czterosuwowy                                           153         66

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
QuickScoot                                         C400GT                                             Spalinowy dwusuwowy                                              153         66
QuickScoot                                         Cruisym300                                         Spalinowy dwusuwowy                                              152         69
QuickScoot                                         X-Town300                                          Elektryczny                                                      152         69
QuickScoot                                         Downtown350                                        Spalinowy czterosuwowy                                           150         71
QuickScoot                                         Forza750                                           Elektryczny                                                      150         71
QuickScoot                                         Citycom300                                         Elektryczny                                                      143         73
UrbanScoot                                         XDiavel125                                         Spalinowy czterosuwowy                                           509          1
UrbanScoot                                         GT2022                                             Elektryczny                                                      487          2
UrbanScoot                                         Forza750                                           Spalinowy czterosuwowy                                           477          3
UrbanScoot                                         V7III                                              Elektryczny                                                      466          4
UrbanScoot                                         Vision110                                          Spalinowy czterosuwowy                                           356          5

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         Madison300                                         Elektryczny                                                      350          6
UrbanScoot                                         Hunter150                                          Elektryczny                                                      347          7
UrbanScoot                                         Leoncino125                                        Spalinowy dwusuwowy                                              345          8
UrbanScoot                                         650MT                                              Spalinowy dwusuwowy                                              342          9
UrbanScoot                                         Jet14                                              Spalinowy czterosuwowy                                           338         10
UrbanScoot                                         PCX125                                             Elektryczny                                                      337         11
UrbanScoot                                         Thunder125                                         Spalinowy czterosuwowy                                           337         11
UrbanScoot                                         Primavera150                                       Elektryczny                                                      335         13
UrbanScoot                                         SR50                                               Elektryczny                                                      330         14
UrbanScoot                                         BulletRS                                           Spalinowy czterosuwowy                                           325         15
UrbanScoot                                         X-Ride125                                          Spalinowy dwusuwowy                                              323         16

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         Madison300                                         Spalinowy dwusuwowy                                              323         16
UrbanScoot                                         Citycom300                                         Elektryczny                                                      319         18
UrbanScoot                                         S2ABS                                              Spalinowy czterosuwowy                                           310         19
UrbanScoot                                         Elettrica                                          Elektryczny                                                      298         20
UrbanScoot                                         PeopleS150                                         Spalinowy czterosuwowy                                           197         21
UrbanScoot                                         310M                                               Spalinowy czterosuwowy                                           192         22
UrbanScoot                                         Matrix150                                          Spalinowy dwusuwowy                                              189         23
UrbanScoot                                         Cuxi100                                            Spalinowy dwusuwowy                                              189         23
UrbanScoot                                         Cuxi100                                            Spalinowy czterosuwowy                                           187         25
UrbanScoot                                         Urban50                                            Spalinowy dwusuwowy                                              186         26
UrbanScoot                                         Jupiter125                                         Elektryczny                                                      184         27

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         Thunder125                                         Spalinowy dwusuwowy                                              184         27
UrbanScoot                                         TCMax                                              Elektryczny                                                      184         27
UrbanScoot                                         PCX125                                             Spalinowy dwusuwowy                                              184         27
UrbanScoot                                         Matrix150                                          Elektryczny                                                      183         31
UrbanScoot                                         S01+                                               Spalinowy dwusuwowy                                              180         32
UrbanScoot                                         R18                                                Spalinowy dwusuwowy                                              178         33
UrbanScoot                                         Hunter150                                          Spalinowy czterosuwowy                                           177         34
UrbanScoot                                         PulsarNS125                                        Spalinowy czterosuwowy                                           176         35
UrbanScoot                                         MQiGT                                              Elektryczny                                                      176         35
UrbanScoot                                         PCX125                                             Spalinowy czterosuwowy                                           175         37
UrbanScoot                                         Citycom300                                         Spalinowy czterosuwowy                                           175         37

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         XMAX300                                            Spalinowy dwusuwowy                                              174         39
UrbanScoot                                         Dragster200                                        Elektryczny                                                      174         39
UrbanScoot                                         Cruisym300                                         Elektryczny                                                      173         41
UrbanScoot                                         Maxsym400                                          Elektryczny                                                      172         42
UrbanScoot                                         LX150                                              Spalinowy czterosuwowy                                           172         42
UrbanScoot                                         Tango125                                           Elektryczny                                                      172         42
UrbanScoot                                         Beverly350                                         Elektryczny                                                      171         45
UrbanScoot                                         VivaE                                              Spalinowy czterosuwowy                                           171         45
UrbanScoot                                         Jet14                                              Spalinowy dwusuwowy                                              170         47
UrbanScoot                                         KPV150                                             Spalinowy dwusuwowy                                              170         47
UrbanScoot                                         J300                                               Spalinowy czterosuwowy                                           168         49

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         V7III                                              Spalinowy czterosuwowy                                           168         49
UrbanScoot                                         S01+                                               Spalinowy czterosuwowy                                           166         51
UrbanScoot                                         Hunter150                                          Spalinowy dwusuwowy                                              166         51
UrbanScoot                                         Outlook150                                         Elektryczny                                                      166         51
UrbanScoot                                         Cruisym300                                         Spalinowy czterosuwowy                                           166         51
UrbanScoot                                         PulsarNS125                                        Spalinowy dwusuwowy                                              165         55
UrbanScoot                                         XMAX300                                            Elektryczny                                                      165         55
UrbanScoot                                         V7III                                              Spalinowy dwusuwowy                                              164         57
UrbanScoot                                         Evo125                                             Spalinowy czterosuwowy                                           164         57
UrbanScoot                                         Racer150                                           Spalinowy dwusuwowy                                              163         59
UrbanScoot                                         Like200i                                           Spalinowy czterosuwowy                                           162         60

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         C400GT                                             Elektryczny                                                      162         60
UrbanScoot                                         VivaE                                              Elektryczny                                                      161         62
UrbanScoot                                         ZT310T                                             Spalinowy czterosuwowy                                           161         62
UrbanScoot                                         Downtown350                                        Spalinowy dwusuwowy                                              161         62
UrbanScoot                                         SR50                                               Spalinowy czterosuwowy                                           161         62
UrbanScoot                                         Like200i                                           Elektryczny                                                      161         62
UrbanScoot                                         Primavera150                                       Spalinowy czterosuwowy                                           160         67
UrbanScoot                                         Tango125                                           Spalinowy czterosuwowy                                           159         68
UrbanScoot                                         Outlook150                                         Spalinowy czterosuwowy                                           155         69
UrbanScoot                                         Burgman400                                         Spalinowy czterosuwowy                                           154         70
UrbanScoot                                         Burgman400                                         Spalinowy dwusuwowy                                              154         70

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
UrbanScoot                                         Chieftain                                          Elektryczny                                                      149         72
UrbanScoot                                         Maxsym400                                          Spalinowy czterosuwowy                                           148         73
UrbanScoot                                         S2ABS                                              Spalinowy dwusuwowy                                              145         74
UrbanScoot                                         Vortex250                                          Spalinowy dwusuwowy                                              142         75
UrbanScoot                                         ZT310T                                             Spalinowy dwusuwowy                                              138         76

423 rows selected. 

